ts,Ts,HighMomentum,LowMomentum,FastMomentum,Volatility,NormClose,NormVolume,Delta,HighAlpha,HighBeta,LowAlpha,LowBeta,LowGamma,Meditation,MidGamma,Theta
2022-01-29 15:56:00+00:00,1643471760,1.0039076500260915,0.9880298549137472,0.9987912503865743,0.0005224903996582,0.0233658458562941,0.0103150599167644,2460.0,1691.0,2870.0,4735.0,831.0,2042.0,69.0,1134.0,8584.0
2022-01-29 15:57:00+00:00,1643471820,1.0018605375159813,0.9909331927579564,1.0009829281603737,0.0004515965781129,0.274935659551766,0.3104020959255594,946.0,931.0,3741.0,254.0,3474.0,2699.0,51.0,1801.0,8329.0
2022-01-29 15:58:00+00:00,1643471880,1.0015031129638947,0.991922242292772,0.9991755382984964,0.0004375897100422,0.6848889809130315,0.0756261197653266,9175.0,6179.0,3915.0,2882.0,7234.0,1924.0,78.0,1339.0,3113.0
2022-01-29 15:59:00+00:00,1643471940,1.0042796141799104,0.9849959747824688,0.9998196816187972,0.0006521809469656,0.0956916993166486,0.0400082616938446,2352.0,6544.0,2693.0,992.0,4561.0,3918.0,66.0,656.0,5077.0
2022-01-29 16:00:00+00:00,1643472000,1.0203981728844171,0.9718020013758812,0.9994476185748756,0.0014590105294897,0.6988054524669355,0.0578665907402779,5000.0,5037.0,6717.0,9133.0,1723.0,3191.0,66.0,416.0,5047.0
2022-01-30 04:05:00+00:00,1643515500,1.0007862058547212,0.989562629102636,1.0073911713110562,0.0007902679253402,0.6520855716400836,0.1087667694764313,36055.0,20529.0,20330.0,57685.0,20822.0,12555.0,97.0,4319.0,53290.0
2022-01-30 04:06:00+00:00,1643515560,1.0025907993122818,0.9900471346490074,0.9994648316953584,0.0007924904924766,0.6515707004529085,0.0,70326.0,40415.0,3735.0,6339.0,46318.0,5357.0,43.0,4670.0,108111.0
2022-01-30 04:07:00+00:00,1643515620,1.0099240007934798,0.9848913210642004,0.9958633108878356,0.0008006728099884,0.7289865939743267,0.0395261130504307,10533.0,10059.0,13679.0,31472.0,18773.0,10260.0,41.0,2481.0,46431.0
2022-01-30 04:08:00+00:00,1643515680,1.0063692710314414,0.9931926307794908,1.0022474756757314,0.0004857668144514,0.4848543031998884,0.5525073444014069,25093.0,5783.0,21511.0,4802.0,10937.0,4440.0,43.0,2458.0,37290.0
2022-01-30 04:09:00+00:00,1643515740,1.008195246102637,0.99034645341683,0.999699701696214,0.0005193293284041,0.3723669366104986,0.0,81735.0,22762.0,28640.0,44143.0,13473.0,12022.0,60.0,8641.0,38166.0
2022-01-30 04:10:00+00:00,1643515800,1.002293303200593,0.9961706911327868,0.9995936037169828,0.0003871519826659,0.2411356093818519,0.1362288372374066,14190.0,3135.0,3866.0,8673.0,9166.0,4896.0,67.0,1226.0,17653.0
2022-01-30 04:11:00+00:00,1643515860,1.007069355732217,0.9895600617117912,1.001276425775685,0.0004960329749292,0.5551981518877702,1.0,5730.0,2832.0,2902.0,7640.0,2280.0,2112.0,53.0,2924.0,7224.0
2022-01-30 04:12:00+00:00,1643515920,1.0009993415686096,0.9918175918929796,1.000112946938818,0.0005378069205629,0.9688365872968686,0.0872263298597064,2516.0,7444.0,1930.0,4872.0,2781.0,4798.0,63.0,1837.0,5130.0
2022-01-30 04:13:00+00:00,1643515980,1.0163699068314151,0.9794566477511916,1.0069004184137322,0.0007484790960831,0.9473109187940216,0.1475344900236112,13806.0,4378.0,5082.0,14873.0,4437.0,2113.0,64.0,1023.0,18800.0
2022-01-30 04:14:00+00:00,1643516040,1.014243112139898,0.985344259374852,1.0022815266644989,0.000744543452479,0.5969664342518974,0.5918613028219191,6221.0,7621.0,5154.0,7781.0,2690.0,3628.0,60.0,1420.0,6096.0
2022-01-30 04:15:00+00:00,1643516100,1.011002721943101,0.9888381106822042,0.9996513398387784,0.0007513542598787,0.656212342830143,0.010024445499835,4357.0,8635.0,5406.0,7701.0,8533.0,4355.0,50.0,1617.0,7247.0
2022-01-30 04:16:00+00:00,1643516160,1.0096254210416853,0.9862030230240938,0.999467710643004,0.0006342347730176,0.9116174865496898,0.3861053798361673,5829.0,9789.0,3339.0,3852.0,7259.0,2563.0,53.0,1673.0,7810.0
2022-01-30 04:17:00+00:00,1643516220,1.0111796844621108,0.9889439190344714,1.0008688132091847,0.0005948714464497,0.8745899172150221,0.2453276184835914,4488.0,2237.0,3674.0,1341.0,6425.0,3883.0,48.0,1681.0,11708.0
